~	〜
.	。
,	、
bbh	←
bbj	↓
bbk	↑
bbl	→
bb/	・
bb.	…
bb,	‥
bb[	『
bb]	』
bb<	《
bb>	》
u	ー
m	ん
n	っ
f/	しゅつ
g/	ちゅつ
z/	じゅつ
o1	あつ
c1	ばつ
v1	だつ
a1	がつ
s1	はつ
d1	かつ
w1	まつ
e1	なつ
q1	ぱつ
r1	らつ
f1	さつ
g1	たつ
z1	ざつ
o!	あっ
c!	ばっ
v!	だっ
a!	がっ
s!	はっ
d!	かっ
w!	まっ
e!	なっ
q!	ぱっ
r!	らっ
f!	さっ
g!	たっ
x!	わっ
t!	やっ
z!	ざっ
o2	いつ
c2	びつ
s2	ひつ
d2	きつ
w2	みつ
q2	ぴつ
r2	りつ
f2	しつ
g2	ちつ
z2	じつ
o@	いっ
c@	びっ
a@	ぎっ
s@	ひっ
d@	きっ
w@	みっ
e@	にっ
q@	ぴっ
r@	りっ
f@	しっ
g@	ちっ
z@	じっ
o3	うつ
c3	ぶつ
s3	ふつ
d3	くつ
q3	ぷつ
r3	るい
f3	すい
g3	つい
t3	ゆい
z3	ずい
o#	うっ
c#	ぶっ
a#	ぐっ
s#	ふっ
d#	くっ
w#	むっ
e#	ぬっ
q#	ぷっ
r#	るっ
f#	すっ
g#	つっ
t#	ゆっ
z#	ずっ
o4	えつ
c4	べつ
v4	でつ
a4	げつ
d4	けつ
w4	めつ
e4	ねつ
r4	れつ
f4	せつ
g4	てつ
z4	ぜつ
o$	えっ
c$	べっ
v$	でっ
a$	げっ
s$	へっ
d$	けっ
w$	めっ
e$	ねっ
q$	ぺっ
r$	れっ
f$	せっ
g$	てっ
z$	ぜっ
o5	おつ
c5	ぼつ
a5	ごつ
s5	ほつ
d5	こつ
w5	もつ
q5	ぽつ
f5	そつ
g5	とつ
o%	おっ
c%	ぼっ
v%	どっ
a%	ごっ
s%	ほっ
d%	こっ
w%	もっ
e%	のっ
q%	ぽっ
r%	ろっ
f%	そっ
g%	とっ
t%	よっ
z%	ぞっ
o6	やっ
c6	びゃっ
a6	ぎゃっ
s6	ひゃっ
d6	きゃっ
w6	みゃっ
e6	にゃっ
q6	ぴゃっ
r6	りゃっ
f6	しゃっ
g6	ちゃっ
z6	じゃっ
o^	やー
c^	びゃー
a^	ぎゃー
s^	ひゃー
d^	きゃー
w^	みゃー
e^	にゃー
q^	ぴゃー
r^	りゃー
f^	しゃー
g^	ちゃー
z^	じゃー
o7	ゆっ
c7	びゅっ
p7	てゅっ
v7	でゅっ
i7	ふゅっ
a7	ぎゅっ
s7	ひゅっ
d7	きゅっ
w7	みゅっ
e7	にゅっ
q7	ぴゅっ
r7	りゅっ
f7	しゅっ
g7	ちゅっ
z7	じゅっ
o&	ゆー
c&	びゅー
p&	てゅー
v&	でゅー
i&	ふゅー
a&	ぎゅー
s&	ひゅー
d&	きゅー
w&	みゅー
e&	にゅー
q&	ぴゅー
r&	りゅー
f&	しゅー
g&	ちゅー
z&	じゅー
o8	よっ
c8	びょっ
a8	ぎょっ
s8	ひょっ
d8	きょっ
w8	みょっ
e8	にょっ
q8	ぴょっ
r8	りょっ
f8	しょっ
g8	ちょっ
z8	じょっ
o*	よー
