~	〜
.	。
,	、
LLh	←
LLj	↓
LLk	↑
LLl	→
LL/	・
LL.	…
LL,	‥
LL[	『
LL]	』
LL<	《
LL>	》
u	ー
m	ん
n	っ
S/	しゅつ
T/	ちゅつ
Z/	じゅつ
A1	あつ
B1	ばつ
D1	だつ
G1	がつ
H1	はつ
K1	かつ
M1	まつ
N1	なつ
P1	ぱつ
R1	らつ
S1	さつ
T1	たつ
Z1	ざつ
A!	あっ
B!	ばっ
D!	だっ
G!	がっ
H!	はっ
K!	かっ
M!	まっ
N!	なっ
P!	ぱっ
R!	らっ
S!	さっ
T!	たっ
W!	わっ
Y!	やっ
Z!	ざっ
A2	いつ
B2	びつ
H2	ひつ
K2	きつ
M2	みつ
P2	ぴつ
R2	りつ
S2	しつ
T2	ちつ
Z2	じつ
A@	いっ
B@	びっ
G@	ぎっ
H@	ひっ
K@	きっ
M@	みっ
N@	にっ
P@	ぴっ
R@	りっ
S@	しっ
T@	ちっ
Z@	じっ
A3	うつ
B3	ぶつ
H3	ふつ
K3	くつ
P3	ぷつ
R3	るい
S3	すい
T3	つい
Y3	ゆい
Z3	ずい
A#	うっ
B#	ぶっ
G#	ぐっ
H#	ふっ
K#	くっ
M#	むっ
N#	ぬっ
P#	ぷっ
R#	るっ
S#	すっ
T#	つっ
Y#	ゆっ
Z#	ずっ
A4	えつ
B4	べつ
D4	でつ
G4	げつ
K4	けつ
M4	めつ
N4	ねつ
R4	れつ
S4	せつ
T4	てつ
Z4	ぜつ
A$	えっ
B$	べっ
D$	でっ
G$	げっ
H$	へっ
K$	けっ
M$	めっ
N$	ねっ
P$	ぺっ
R$	れっ
S$	せっ
T$	てっ
Z$	ぜっ
A5	おつ
B5	ぼつ
G5	ごつ
H5	ほつ
K5	こつ
M5	もつ
P5	ぽつ
S5	そつ
T5	とつ
A%	おっ
B%	ぼっ
D%	どっ
G%	ごっ
H%	ほっ
K%	こっ
M%	もっ
N%	のっ
P%	ぽっ
R%	ろっ
S%	そっ
T%	とっ
Y%	よっ
Z%	ぞっ
A6	やっ
B6	びゃっ
G6	ぎゃっ
H6	ひゃっ
K6	きゃっ
M6	みゃっ
N6	にゃっ
P6	ぴゃっ
R6	りゃっ
S6	しゃっ
T6	ちゃっ
Z6	じゃっ
A^	やー
B^	びゃー
G^	ぎゃー
H^	ひゃー
K^	きゃー
M^	みゃー
N^	にゃー
P^	ぴゃー
R^	りゃー
S^	しゃー
T^	ちゃー
Z^	じゃー
A7	ゆっ
B7	びゅっ
C7	てゅっ
D7	でゅっ
F7	ふゅっ
G7	ぎゅっ
H7	ひゅっ
K7	きゅっ
M7	みゅっ
N7	にゅっ
P7	ぴゅっ
R7	りゅっ
S7	しゅっ
T7	ちゅっ
Z7	じゅっ
A&	ゆー
B&	びゅー
C&	てゅー
D&	でゅー
F&	ふゅー
G&	ぎゅー
H&	ひゅー
K&	きゅー
M&	みゅー
N&	にゅー
P&	ぴゅー
R&	りゅー
S&	しゅー
T&	ちゅー
Z&	じゅー
A8	よっ
B8	びょっ
G8	ぎょっ
H8	ひょっ
K8	きょっ
M8	みょっ
N8	にょっ
P8	ぴょっ
R8	りょっ
S8	しょっ
